;Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Cidade / UF;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada;Observação
1887;1888;22/12/2016;1;10;17;18;45;48;2;CAMPINAS/SP;R$20.091.578,77;113;R$25.665,88;7195;R$575,84;R$0,00;R$50.303.820,00;R$3.000.000,00;R$65.971.392,33;
1889;1890;31/12/2016;5;11;22;24;51;53;6;"SALVADOR/BA; 
FORTALEZA/CE; 
TRIZIDELA DO VALE/MA; 
BELO HORIZONTE/MG; 
CAMPO GRANDE/MS; 
FAZENDA VILANOVA/RS";R$36.824.758,22;1665;R$25.481,21;124889;R$485,30;R$0,00;R$735.869.326,50;R$2.500.000,00;R$0,00;
1895;1896;21/01/2017;3;6;14;15;21;25;1;ITANHAÉM/SP;R$28.783.383,17;133;R$19.529,58;7692;R$482,40;R$0,00;R$45.051.695,50;R$2.500.000,00;R$3.025.148,59;
1901;1902;11/02/2017;2;7;9;18;21;25;3;"IPATINGA/MG; 
ITU/SP; 
SANTA CRUZ DA CONCEIÇÃO/SP";R$11.813.566,31;367;R$8.583,27;13764;R$326,94;R$0,00;R$54.636.827,00;R$3.000.000,00;R$6.494.347,82;
1909;1910;08/03/2017;6;9;15;22;39;48;1;CONCEIÇÃO DO PARÁ/MG;R$59.741.202,88;219;R$19.333,81;10816;R$559,23;R$0,00;R$73.439.205,00;R$3.000.000,00;R$11.304.204,85;
1911;1912;15/03/2017;10;13;33;35;36;42;1;CAMPINA GRANDE/PB;R$5.848.882,96;43;R$38.057,25;4556;R$513,12;R$0,00;R$28.383.915,00;R$3.000.000,00;R$12.139.759,59;
1913;1914;22/03/2017;16;29;33;39;42;44;1;VITORIA DE SANTO ANTÃO/PE;R$5.805.678,69;27;R$60.549,38;2403;R$971,90;R$0,00;R$28.355.670,00;R$16.000.000,00;R$12.969.142,27;
1923;1924;26/04/2017;12;16;30;52;53;58;1;JACIARA/MT;R$101.484.527,44;188;R$41.109,03;11382;R$970,01;R$0,00;R$134.048.376,00;R$35.000.000,00;R$23.500.441,23;
1925;1926;03/05/2017;2;3;14;20;30;46;1;SÃO PAULO/SP;R$41.318.205,91;95;R$31.887,41;6741;R$641,97;R$0,00;R$52.542.315,00;R$3.000.000,00;R$25.002.949,22;
1926;1927;06/05/2017;5;11;13;19;30;31;1;PORTO ALEGRE/RS;R$3.343.108,90;140;R$12.963,07;7385;R$351,06;R$0,00;R$31.477.666,50;R$2.500.000,00;R$25.480.536,22;
1934;1935;31/05/2017;1;3;10;17;23;24;3;"CONTAGEM/MG; 
BOA ESPERANÇA/PR; 
RIO DE JANEIRO/RJ";R$20.928.347,70;497;R$7.778,22;18964;R$291,21;R$0,00;R$67.050.592,00;R$3.000.000,00;R$30.616.394,37;
