;Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Cidade / UF;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada;Observação
1;2;18/03/1996;9;37;39;41;43;49;1;PR;R$2.307.162,23;65;R$14.424,02;4488;R$208,91;R$0,00;R$0,00;R$0,00;R$0,00;
2;3;25/03/1996;10;11;29;30;36;47;2;"RN; 
SP";R$391.192,51;62;R$10.515,93;4261;R$153,01;R$0,00;R$0,00;R$0,00;R$0,00;
10;11;20/05/1996;15;25;37;38;58;59;1;RJ;R$15.591.365,07;148;R$12.706,05;9442;R$199,16;R$0,00;R$0,00;R$0,00;R$0,00;
16;17;01/07/1996;6;10;13;19;20;51;1;SP;R$6.789.869,08;144;R$7.628,37;9376;R$117,16;R$0,00;R$0,00;R$0,00;R$0,00;
23;24;19/08/1996;1;8;14;28;33;43;1;;R$18.661.679,61;227;R$7.897,31;13486;R$132,93;R$0,00;R$0,00;R$0,00;R$0,00;
28;29;22/09/1996;3;8;14;43;56;58;1;RS;R$5.401.793,60;44;R$23.083,15;5248;R$193,53;R$0,00;R$0,00;R$0,00;R$0,00;
32;33;20/10/1996;5;17;33;39;42;49;1;MG;R$13.997.410,74;128;R$9.545,76;8722;R$140,09;R$0,00;R$0,00;R$0,00;R$0,00;
40;41;15/12/1996;12;26;35;38;39;47;1;BA;R$17.019.238,50;148;R$10.114,70;10182;R$147,03;R$0,00;R$0,00;R$0,00;R$0,00;GANHADOR DA CIDADE DE SALVADOR, ESTADO DA BAHIA
48;49;09/02/1997;7;13;33;35;43;55;1;RJ;R$8.405.156,76;155;R$6.916,34;9830;R$108,85;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador  RJ (Barra Mansa)
53;54;16/03/1997;5;9;18;21;36;56;2;"BA; 
SP";R$7.469.653,99;207;R$7.033,61;13067;R$111,20;R$0,00;R$0,00;R$0,00;R$0,00;Ganhadores dos estados: BA e SP.
57;58;13/04/1997;12;27;30;37;44;49;1;SP;R$3.631.304,91;65;R$13.601,07;5040;R$175,06;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador do Estado: SP
62;63;18/05/1997;9;25;26;40;41;49;1;MG;R$13.680.019,57;82;R$16.246,91;6359;R$209,10;R$0,00;R$0,00;R$0,00;R$0,00;
72;73;27/07/1997;25;26;28;45;51;57;1;BA;R$21.026.575,40;95;R$21.205,27;8222;R$244,52;R$0,00;R$0,00;R$0,00;R$0,00;GANHADOR: BA - SALVADOR
78;79;07/09/1997;2;13;17;25;31;43;1;RS;R$6.770.601,75;247;R$4.404,85;13375;R$81,18;R$0,00;R$0,00;R$0,00;R$0,00;O ganhador da SENA do Estado do Rio Grande do Sul
81;82;28/09/1997;15;18;29;36;51;53;1;BA;R$13.877.826,02;77;R$15.982,73;5889;R$208,57;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado da Bahia.
89;90;23/11/1997;9;21;26;40;52;54;1;RJ;R$15.764.300,87;74;R$18.584,49;4763;R$288,17;R$0,00;R$0,00;R$0,00;R$0,00;ESTADO CONTEMPLADO COM SENA: RIO DE JANEIRO
95;96;04/01/1998;4;7;26;40;42;58;1;;R$5.218.562,47;62;R$11.993,17;3984;R$186,27;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado da Bahia.
96;97;11/01/1998;5;11;14;35;53;56;1;;R$727.932,66;56;R$10.832,33;3441;R$175,94;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado de Minas Gerais.
101;102;15/02/1998;19;20;37;42;44;56;1;;R$11.336.626,88;73;R$16.743,36;6197;R$196,85;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado de Minas Gerais.
102;103;22/02/1998;1;7;9;49;54;57;1;;R$696.984,24;28;R$20.743,58;2632;R$220,24;R$0,00;R$0,00;R$0,00;R$0,00;GANHADOR DA SENA DO ESTADO DO PARAN-
111;112;25/04/1998;12;20;34;37;42;43;1;;R$15.802.579,93;137;R$9.957,01;8340;R$163,25;R$0,00;R$0,00;R$0,00;R$0,00;"01 GANHADOR DO ESTADO DO ""RIO GRANDE DO NORTE"""
123;124;18/07/1998;5;15;34;41;52;57;1;;R$24.536.288,72;188;R$17.242,12;14019;R$230,76;R$0,00;R$0,00;R$0,00;R$0,00;O PREMIO PRINCIPAL SAIU PARA A CIDADE DE VILA VELHA NO ESTADO DO ESPIRITO SANTO.
132;133;19/09/1998;5;6;19;34;39;57;1;;R$30.533.241,12;431;R$10.035,16;29264;R$147,51;R$0,00;R$0,00;R$0,00;R$0,00;ESTADO CONTEMPLADO COM SENA: 01 MINAS GERAIS.
138;139;31/10/1998;3;13;26;27;41;42;2;;R$3.902.486,14;179;R$7.216,46;9401;R$137,14;R$0,00;R$0,00;R$0,00;R$0,00;02 Ganhadores do Estado de SÃO PAULO (Taubaté e São Paulo-Capital)
143;144;05/12/1998;8;32;36;44;45;55;1;;R$33.597.755,21;257;R$20.952,14;23952;R$224,38;R$0,00;R$0,00;R$0,00;R$0,00;ESTADO CONTEMPLADO COM A SENA: RONDONIA - CIDADE PORTO VELHO.
146;147;24/12/1998;6;16;23;24;28;38;1;;R$3.805.750,38;75;R$11.760,17;5418;R$162,48;R$0,00;R$0,00;R$0,00;R$0,00;01 Ganhador da MEGA  -  Distrito Federal
150;151;23/01/1999;3;16;20;43;52;56;1;;R$24.091.811,02;152;R$14.678,07;9869;R$225,62;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado do Rio Grande do Norte.
154;155;20/02/1999;12;30;32;35;43;44;1;;R$4.988.808,21;67;R$16.126,32;4974;R$217,22;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA da cidade de Foz do Iguaçu - Estado do Paraná.
156;157;06/03/1999;4;13;17;21;41;44;1;;R$2.140.030,92;134;R$7.224,03;8894;R$108,84;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado de Goiás.
158;159;20/03/1999;9;11;16;35;50;58;1;PR;R$2.038.170,67;57;R$15.735,49;4124;R$217,49;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado do Paraná.
162;163;17/04/1999;8;27;36;41;53;56;2;;R$8.975.833,36;146;R$15.657,23;10793;R$211,80;R$0,00;R$0,00;R$0,00;R$0,00;02 Ganhadores da MEGA:  Distrito Federal e Mato Grosso do Sul
164;165;01/05/1999;10;19;23;35;39;56;2;;R$1.044.444,54;75;R$11.968,35;5378;R$166,91;R$0,00;R$0,00;R$0,00;R$0,00;Ganhadores da SENA dos Estados de Minas Gerais e Pernambuco.
166;167;15/05/1999;1;11;28;33;38;48;1;;R$2.100.980,21;82;R$11.364,11;4997;R$186,48;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado do Rio de Janeiro.
170;171;12/06/1999;4;27;40;43;46;54;1;;R$16.052.410,83;134;R$14.983,30;10378;R$193,46;R$0,00;R$0,00;R$0,00;R$0,00;UM GANHADOR DA MEGA-SENA, no Estado do Rio de Janeiro - Capital
172;173;26/06/1999;17;28;29;42;49;50;1;;R$2.148.316,42;40;R$23.220,41;3610;R$256,32;R$0,00;R$0,00;R$0,00;R$0,00;O Ganhador da SENA é do Distrito Federal.
177;178;31/07/1999;5;15;19;26;27;33;1;;R$6.129.539,43;198;R$6.240,11;13086;R$94,07;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador do Estado de São Paulo
187;188;10/10/1999;17;27;34;42;43;46;1;;R$64.905.517,65;1200;R$11.517,11;90235;R$152,58;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da MEGASENA é do Estado da  BAHIA, Prêmio para o próximo concurso 1 MILHÃO.
190;191;31/10/1999;1;3;5;23;41;58;1;;R$50.968.412,58;383;R$13.212,41;30477;R$165,41;R$0,00;R$0,00;R$0,00;R$0,00;MEGA-SENA  tem 01 Ganhador de MATO GROSSO DO SUL, Campo Grande
194;195;27/11/1999;3;9;17;32;37;44;1;AM;R$6.370.250,64;339;R$4.005,56;13819;R$97,89;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$1.000.000,00.
198;199;24/12/1999;10;16;37;50;52;57;1;SP;R$4.915.593,20;34;R$28.316,55;3143;R$305,16;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$16.500.000,00.
199;200;31/12/1999;12;15;19;34;44;51;2;;R$8.829.389,20;186;R$11.008,48;13027;R$156,59;R$0,00;R$0,00;R$0,00;R$0,00;Os ganhadores da MEGASENA são de: Clevelândia/PR e São José dos Campos/SP.
200;201;08/01/2000;5;20;22;30;35;55;1;RN;R$1.038.373,94;77;R$11.237,81;4502;R$191,48;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$1.070.000,00.
204;205;05/02/2000;26;32;40;43;46;54;1;RJ;R$4.490.339,49;71;R$15.208,03;6014;R$178,86;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$900.000,00.
212;213;01/04/2000;3;9;23;30;32;35;3;"PR; 
RS; 
SC";R$7.089.194,54;312;R$7.299,77;18348;R$123,66;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$1.000.000,00.
215;216;22/04/2000;14;18;30;35;42;59;4;"BA; 
MG; 
RJ; 
SP";R$801.057,55;91;R$9.745,75;5049;R$175,00;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$900.000,00.
217;218;06/05/2000;12;17;40;42;47;54;1;PR;R$1.878.255,09;95;R$8.777,61;4679;R$177,55;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$1.000.000,00.
219;220;20/05/2000;13;14;36;53;55;60;1;SP;R$12.636.751,12;125;R$12.488,05;8067;R$192,78;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$1.000.000,00.
225;226;01/07/2000;1;2;38;49;50;59;1;SP;R$6.916.920,13;78;R$15.170,39;4123;R$286,14;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$1.000.000,00.
228;229;22/07/2000;11;13;21;33;39;45;1;AM;R$2.992.781,57;121;R$7.508,79;7685;R$117,88;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$8.800.000,00.
232;233;19/08/2000;3;7;24;32;36;45;5;"DF; 
SP";R$3.196.547,03;512;R$3.790,28;21452;R$90,20;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$1.000.000,00.
237;238;23/09/2000;9;13;15;37;41;42;4;"BA; 
SP";R$1.429.476,11;188;R$6.088,25;10483;R$108,86;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso R$900.000,00.
238;239;30/09/2000;6;21;33;44;46;47;1;BA;R$866.183,32;30;R$24.060,65;3826;R$188,10;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso: R$11.500.000,00.
244;245;11/11/2000;8;27;44;51;53;60;3;"GO; 
MG; 
SC";R$9.153.484,88;283;R$15.838,62;21593;R$206,96;R$0,00;R$0,00;R$0,00;R$0,00;Previsão de prêmio do próximo concurso R$900.000,00.
251;252;30/12/2000;4;17;26;32;51;54;2;"DF; 
SP";R$15.107.002,24;354;R$10.070,62;22122;R$160,67;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa prêmio próximo concurso: R$1 MILHÃO.
256;257;03/02/2001;1;4;5;19;28;34;1;RJ;R$6.808.483,96;175;R$7.704,83;11706;R$114,84;R$0,00;R$0,00;R$0,00;R$0,00;PREVISÃO PRÊMIO PRÓXIMO CONCURSO(Sena):R$1.000.000,00
263;264;24/03/2001;1;5;13;25;31;33;2;"CE; 
SP";R$16.055.880,73;979;R$4.298,96;50364;R$83,25;R$0,00;R$0,00;R$0,00;R$0,00;Previsão prêmio próximo concurso(Sena) R$1.000.000,00
269;270;05/05/2001;5;9;27;35;40;45;1;SP;R$25.186.260,21;228;R$9.665,14;16867;R$130,16;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa prêmio próximo concurso (sena):1MILHÃO.
272;273;26/05/2001;10;17;23;27;47;52;1;PE;R$3.456.480,23;92;R$11.326,92;7241;R$143,38;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa prêmio próximo concurso (sena) :R$1MILHÃO.
280;281;21/07/2001;5;11;31;38;47;53;1;PR;R$22.414.093,50;188;R$13.574,18;12864;R$197,63;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa prêmio próximo concurso (sena)R$1.000.000,00
281;282;28/07/2001;9;14;23;24;33;36;1;RJ;R$958.878,82;76;R$10.514,03;6064;R$131,27;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa prêmio próximo concurso (sena): R$ 800 MIL.
282;283;01/08/2001;25;28;34;42;48;54;1;SP;R$367.173,22;36;R$8.499,38;2126;R$143,38;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$ 800.000,00
283;284;04/08/2001;7;8;14;30;32;36;1;PR;R$901.884,48;75;R$10.020,94;5358;R$139,74;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa prêmio próximo concurso (sena): R$500 MIL.
286;287;15/08/2001;3;13;25;33;47;60;1;TO;R$1.931.474,80;110;R$4.034,34;5633;R$78,49;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa prêmio próximo concurso (sena): R$ 1 MILHÃO.
293;294;08/09/2001;22;25;28;41;45;57;2;"PR; 
SP";R$7.696.680,33;130;R$9.839,13;7434;R$171,41;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa prêmio próximo concurso: (SENA) R$600 MIL.
297;298;22/09/2001;5;22;23;24;34;60;1;PR;R$2.994.572,21;50;R$17.440,22;4372;R$198,71;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) próximo concurso: R$500.000,00.
302;303;10/10/2001;7;13;17;30;37;47;1;MS;R$12.257.748,27;215;R$4.674,95;12861;R$77,86;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio próximo concurso R$ 900 MIL.
307;308;27/10/2001;4;11;25;29;39;55;1;RS;R$4.138.172,99;62;R$15.297,99;5173;R$182,67;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso:R$ 500.000,00
308;309;31/10/2001;4;11;25;39;50;55;1;RS;R$442.899,06;3001;R$122,53;2997;R$122,69;R$0,00;R$0,00;R$0,00;R$0,00;estimativa prêmio próximo concurso (sena): R$ 7 MILHÕES.
314;315;21/11/2001;12;21;22;28;43;50;1;PR;R$13.675.105,67;43;R$24.188,06;4598;R$225,35;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$ 700.000,00.
317;318;01/12/2001;3;19;20;31;40;53;1;SP;R$2.227.008,03;46;R$16.340,54;3071;R$243,84;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa prêmio próximo concurso (sena) R$ 550 MIL.
324;325;29/12/2001;1;3;4;21;23;53;2;"AM; 
SP";R$8.743.877,80;256;R$9.590,82;15646;R$156,33;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$1.200.000,00.
327;328;12/01/2002;5;7;14;21;23;51;1;SP;R$2.721.357,01;100;R$9.055,92;7121;R$126,69;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa prêmio próximo concurso (sena): R$ 550 MIL.
333;334;02/02/2002;14;23;24;26;41;51;2;SP;R$8.729.392,91;1200;R$1.400,91;8839;R$189,47;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$600.000,00.
342;343;09/03/2002;4;6;7;12;24;41;2;"PR; 
RJ";R$9.937.283,03;246;R$7.884,39;17023;R$113,51;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$600.000,00.
344;345;16/03/2002;11;22;46;51;56;58;1;SP;R$1.447.870,53;27;R$28.511,84;2170;R$353,42;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa prêmio próximo concurso (Sena) R$ 550.000,00.
353;354;17/04/2002;7;16;38;40;41;52;1;SP;R$18.680.098,10;93;R$16.450,68;6184;R$246,46;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$550.000,00.
361;362;18/05/2002;7;20;33;37;46;56;1;RJ;R$18.399.160,53;110;R$15.253,12;8313;R$201,08;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa prêmio próximo concurso (sena): R$ 600 MIL.
363;364;25/05/2002;5;29;44;51;57;59;1;SC;R$1.307.293,04;76;R$9.033,16;3315;R$206,32;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$550.000,00. O ganhador da SENA é de Jaraguá do Sul/SC.
364;365;29/05/2002;19;23;34;37;52;58;1;MG;R$462.752,26;45;R$8.569,49;2433;R$157,90;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$550.000,00. O ganhador da SENA é de Paracatu/MG.
366;367;05/06/2002;10;12;27;33;49;52;1;BA;R$1.150.498,02;71;R$6.157,48;3040;R$143,27;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$550.000,00. O ganhador da sena é de Salvador/BA.
368;369;12/06/2002;1;14;21;35;42;60;1;CE;R$1.221.738,07;46;R$9.775,55;4167;R$107,51;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$7.200.000,00. O acertador da SENA é de Fortaleza/CE.
371;372;22/06/2002;16;17;24;39;46;57;2;SP;R$4.792.658,35;85;R$12.884,04;6743;R$161,80;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$600.000,00 . Os ganhadores da SENA são de Vinhedo/SP.
384;385;07/08/2002;5;12;16;18;22;24;2;"DF; 
MG";R$12.952.192,89;759;R$4.645,17;37449;R$93,80;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio ( SENA ) próximo concurso: R$550.000,00. Os ganhadores da (SENA) são de João Pinheiro/MG e Brasília/DF.
389;390;24/08/2002;7;12;22;34;38;53;1;SC;R$17.611.429,97;171;R$9.094,15;10722;R$144,49;R$0,00;R$0,00;R$0,00;R$0,00;ESTIMATIVA DE PRÊMIO PARA O PRÓXIMO CONCURSO (SENA): R$ 600.000,00.
391;392;31/08/2002;15;23;31;39;47;49;1;SP;R$1.410.917,29;68;R$10.709,84;3591;R$202,03;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso:R$550.000,00.
394;395;11/09/2002;10;11;14;20;31;58;1;DF;R$1.843.709,96;27;R$20.584,31;2328;R$237,84;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$800.000,00.
397;398;21/09/2002;7;16;22;28;36;37;1;CE;R$2.221.289,77;63;R$11.494,73;5106;R$141,29;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$600.000,00.
407;408;26/10/2002;14;28;33;44;49;56;1;RJ;R$18.948.827,67;269;R$7.085,43;13970;R$135,92;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$550.000,00.
413;414;16/11/2002;16;26;35;45;52;58;1;MS;R$17.428.452,98;51;R$28.964,68;5527;R$266,26;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$550.000,00.
417;418;30/11/2002;8;15;32;45;49;52;2;"ES; 
MG";R$1.558.712,24;82;R$10.349,55;5133;R$164,72;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$550.000,00.
424;425;28/12/2002;6;10;16;34;42;47;1;DF;R$18.979.599,19;279;R$9.985,67;17411;R$159,42;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$700.000,00. A CAIXA informa que o concurso 426 da Mega Sena acontecerá em 04/01/2003 (sábado).
429;430;18/01/2003;8;10;21;25;38;50;1;PR;R$14.410.708,81;85;R$15.408,70;6944;R$187,90;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso:R$550.000,00.
441;442;01/03/2003;6;15;23;31;37;59;1;SP;R$19.946.601,01;135;R$13.861,59;9944;R$187,48;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$700.000,00. A CAIXA informa que o concurso 443 da Mega Sena acontecerá em 08/03/2003.
445;446;19/03/2003;8;11;12;17;20;47;2;"RS; 
SP";R$1.767.117,91;65;R$10.698,55;5039;R$137,48;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$650.000,00.
456;457;26/04/2003;15;17;24;27;32;48;3;"CE; 
SP";R$10.000.441,74;480;R$8.302,49;31340;R$126,68;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$500.000,00.
463;464;21/05/2003;6;24;33;38;45;50;1;RS;R$28.414.544,43;241;R$10.837,34;15457;R$168,33;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$700.000,00.
468;469;07/06/2003;13;21;26;29;42;47;2;"AL; 
RO";R$2.596.432,92;187;R$6.048,12;8798;R$128,07;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$13.500.000,00.
476;477;05/07/2003;6;8;18;34;38;47;3;"AM; 
RN; 
RS";R$10.401.481,92;279;R$12.900,92;21958;R$163,30;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$700.000,00.
480;481;19/07/2003;6;13;22;24;42;44;3;"AC; 
MT; 
SP";R$6.796.888,03;359;R$5.670,32;19465;R$104,19;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$800.000,00.
485;486;06/08/2003;8;14;19;30;42;50;1;SP;R$5.125.800,12;55;R$17.368,92;4325;R$220,05;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$700.000,00.
486;487;09/08/2003;8;22;25;48;52;54;2;SE;R$467.702,34;104;R$7.495,23;5329;R$145,73;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$750.000,00.
489;490;20/08/2003;5;11;23;29;54;58;1;RJ;R$11.070.173,50;148;R$7.925,35;8438;R$138,49;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$900.000,00.
490;491;23/08/2003;1;9;15;22;43;55;1;RJ;R$849.344,26;81;R$8.738,11;4221;R$167,05;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$700.000,00.
498;499;20/09/2003;1;4;5;11;44;59;1;PE;R$8.698.099,22;126;R$10.216,18;8903;R$144,04;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$11.000.000,00 (ONZE MILHÕES DE REAIS). A CAIXA informa que o próximo concurso (500) da MEGA-SENA será realizado em Recife/PE em 27/09/2003.
499;500;27/09/2003;21;29;35;36;38;54;1;PR;R$9.394.248,83;73;R$23.869,01;6818;R$254,60;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$700.000,00.
501;502;04/10/2003;7;13;21;24;33;50;2;"MS; 
SP";R$730.915,33;268;R$2.731,87;9549;R$76,39;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$700.000,00.
506;507;22/10/2003;3;5;27;33;44;58;2;"MG; 
SP";R$1.963.484,53;212;R$3.273,22;6604;R$104,68;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$700.000,00.
509;510;01/11/2003;1;4;30;41;45;58;2;"MA; 
SP";R$4.252.983,06;70;R$15.557,02;4392;R$247,01;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$700.000,00.
511;512;08/11/2003;4;8;31;40;53;58;3;"MS; 
RJ";R$653.828,50;41;R$16.727,11;2277;R$300,05;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$700.000,00.
523;524;20/12/2003;19;29;34;41;47;48;1;SC;R$42.794.697,56;180;R$26.580,49;17156;R$277,83;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$20.000.000,00 (VINTE MILHÕES DE REAIS).
524;525;27/12/2003;8;10;24;26;32;49;2;"MG; 
SP";R$10.208.722,99;153;R$11.600,82;9640;R$183,43;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$1.000.000,00
528;529;14/01/2004;1;13;33;38;45;56;15;"BA; 
CE; 
PB; 
PE; 
PI; 
RN";R$348.732,75;87;R$8.565,12;4758;R$156,03;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$7.000.000,00 (SETE MILHÕES DE REAIS).
533;534;31/01/2004;3;8;23;31;48;57;1;MT;R$15.184.658,12;107;R$12.179,88;6559;R$197,95;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$8.000.000,00. (OITO MILHÕES DE REAIS).
534;535;04/02/2004;6;14;28;47;49;56;1;DF;R$7.834.139,14;59;R$12.025,02;4136;R$170,89;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$1.000.000,00.
536;537;11/02/2004;3;7;19;34;37;39;1;RS;R$2.054.340,05;128;R$4.366,34;5345;R$104,17;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$1.000.000,00.
540;541;28/02/2004;13;27;49;52;57;58;1;MG;R$9.144.543,50;54;R$20.304,76;4879;R$223,88;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$800.000,00.
542;543;06/03/2004;35;37;42;46;49;54;1;PR;R$1.836.749,58;78;R$8.241,89;2557;R$250,47;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$800.000,00.
544;545;13/03/2004;17;29;35;40;43;57;1;ES;R$6.409.645,53;102;R$8.292,97;4315;R$195,29;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$750.000,00.
546;547;20/03/2004;4;13;28;30;53;59;1;PB;R$1.746.857,35;42;R$14.452,51;2599;R$232,67;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$850.000,00.
554;555;17/04/2004;5;23;31;33;45;49;1;PR;R$23.810.057,19;152;R$13.350,07;10733;R$188,35;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$1.300.000,00 (UM MILHÃO E TREZENTOS MIL REAIS).
558;559;01/05/2004;6;13;17;25;36;53;1;ES;R$3.707.152,54;75;R$8.184,51;4460;R$137,11;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso: R$6.500.000,00 (SEIS MILHÕES E QUINHENTOS MIL REAIS).
